id,customer_id,product_id,sale_month,sale_day,quantity,unit_cents,discount_bps,coupon_code
76,1,32,202512,20251223,3,4584,1500,WELCOME
77,36,6,202509,20250915,5,1022,0,
78,42,31,202503,20250301,5,4447,1500,夜市
79,43,22,202506,20250619,4,3214,1000,WELCOME
80,11,8,202509,20250925,1,1296,0,LOYAL
81,25,26,202508,20250810,5,3762,1500,SPRING
82,5,2,202511,20251107,4,474,0,WELCOME
83,36,19,202510,20251017,3,2803,1000,LOYAL
84,6,3,202512,20251211,1,611,0,
85,55,1,202503,20250325,5,337,0,SPRING
86,63,26,202502,20250206,2,3762,1500,
87,6,20,202508,20250828,5,2940,1000,夜市
88,15,29,202507,20250716,4,4173,1500,LOYAL
89,20,21,202510,20251002,1,3077,1000,SPRING
90,27,28,202508,20250816,3,4036,1500,WELCOME
91,25,31,202502,20250201,2,4447,1500,
92,20,22,202509,20250913,2,3214,1000,LOYAL
93,1,31,202503,20250328,3,4447,1500,
94,52,5,202506,20250623,1,885,0,夜市
95,11,12,202509,20250917,2,1844,500,
96,49,23,202507,20250705,3,3351,1000,SPRING
97,55,8,202508,20250814,5,1296,0,夜市
98,9,2,202502,20250218,1,474,0,
99,55,16,202507,20250704,2,2392,500,LOYAL
100,61,28,202509,20250921,4,4036,1500,WELCOME
101,46,6,202503,20250314,1,1022,0,夜市
102,57,2,202510,20251018,3,474,0,WELCOME
103,42,4,202504,20250415,3,748,0,LOYAL
104,9,22,202503,20250309,3,3214,1000,夜市
105,54,2,202508,20250801,5,474,0,
106,48,16,202503,20250326,1,2392,500,SPRING
107,53,4,202501,20250126,2,748,0,
108,16,28,202504,20250404,3,4036,1500,SPRING
109,3,27,202505,20250502,5,3899,1500,
110,9,17,202507,20250714,4,2529,1000,LOYAL
111,38,24,202505,20250516,3,3488,1000,LOYAL
112,8,19,202508,20250813,3,2803,1000,
113,43,30,202510,20251016,1,4310,1500,夜市
114,35,2,202511,20251122,2,474,0,
115,22,29,202509,20250912,1,4173,1500,夜市
116,33,27,202501,20250119,2,3899,1500,
117,21,24,202502,20250212,4,3488,1000,LOYAL
118,58,3,202512,20251219,5,611,0,WELCOME
119,10,29,202501,20250120,1,4173,1500,
120,58,18,202509,20250926,2,2666,1000,
121,47,22,202503,20250314,4,3214,1000,夜市
122,54,20,202508,20250810,3,2940,1000,LOYAL
123,48,25,202510,20251009,5,3625,1500,夜市
124,48,16,202506,20250613,5,2392,500,SPRING
125,24,2,202501,20250108,2,474,0,SPRING
126,21,25,202502,20250205,2,3625,1500,
127,32,26,202507,20250703,3,3762,1500,SPRING
128,58,29,202501,20250120,2,4173,1500,LOYAL
129,41,29,202506,20250613,3,4173,1500,
130,9,24,202512,20251205,2,3488,1000,
131,58,12,202504,20250416,2,1844,500,LOYAL
132,22,31,202509,20250925,3,4447,1500,WELCOME
133,55,26,202511,20251113,4,3762,1500,
134,35,20,202512,20251223,4,2940,1000,SPRING
135,36,31,202504,20250408,5,4447,1500,夜市
136,23,23,202508,20250805,2,3351,1000,WELCOME
137,53,8,202512,20251207,2,1296,0,夜市
138,55,19,202505,20250504,4,2803,1000,WELCOME
139,48,18,202507,20250703,4,2666,1000,SPRING
140,47,7,202505,20250519,4,1159,0,
141,61,6,202503,20250318,5,1022,0,WELCOME
142,39,30,202501,20250118,2,4310,1500,夜市
143,63,11,202510,20251023,4,1707,500,SPRING
144,34,4,202511,20251107,5,748,0,夜市
145,1,32,202506,20250606,1,4584,1500,
146,63,10,202504,20250410,4,1570,500,夜市
147,1,18,202501,20250116,1,2666,1000,
148,39,18,202510,20251021,5,2666,1000,
149,23,13,202503,20250313,4,1981,500,夜市
150,51,32,202504,20250421,1,4584,1500,夜市
151,39,32,202504,20250405,2,4584,1500,SPRING
152,60,32,202512,20251209,1,4584,1500,
153,34,15,202508,20250828,5,2255,500,WELCOME
154,51,17,202506,20250614,1,2529,1000,
155,60,25,202507,20250712,2,3625,1500,LOYAL
156,14,13,202503,20250321,2,1981,500,LOYAL
157,11,13,202512,20251220,1,1981,500,
158,18,22,202502,20250208,4,3214,1000,
159,29,28,202505,20250524,4,4036,1500,LOYAL
160,58,6,202501,20250120,5,1022,0,夜市
161,31,4,202503,20250303,2,748,0,
162,53,1,202511,20251115,2,337,0,LOYAL
163,3,31,202507,20250704,3,4447,1500,
164,58,13,202508,20250820,2,1981,500,
165,38,21,202505,20250523,5,3077,1000,
166,56,5,202510,20251004,4,885,0,
167,5,31,202508,20250826,2,4447,1500,LOYAL
168,12,19,202508,20250819,3,2803,1000,
169,55,26,202507,20250708,1,3762,1500,LOYAL
170,61,8,202501,20250122,4,1296,0,SPRING
171,42,11,202505,20250514,5,1707,500,WELCOME
172,48,16,202511,20251116,2,2392,500,WELCOME
173,39,24,202505,20250523,4,3488,1000,WELCOME
174,45,17,202506,20250614,3,2529,1000,
175,33,21,202512,20251214,3,3077,1000,
176,12,26,202511,20251128,4,3762,1500,SPRING
177,45,13,202502,20250212,5,1981,500,LOYAL
178,53,21,202504,20250424,4,3077,1000,夜市
179,35,1,202504,20250406,4,337,0,夜市
180,4,23,202501,20250127,1,3351,1000,SPRING
181,54,6,202508,20250823,2,1022,0,SPRING
182,20,9,202509,20250907,4,1433,500,
183,1,16,202511,20251104,2,2392,500,SPRING
184,46,32,202507,20250710,5,4584,1500,
185,55,29,202507,20250714,4,4173,1500,WELCOME
186,25,23,202507,20250701,5,3351,1000,WELCOME
187,25,13,202508,20250807,2,1981,500,SPRING
188,5,20,202502,20250223,2,2940,1000,SPRING
189,39,23,202505,20250503,4,3351,1000,
190,53,11,202512,20251212,1,1707,500,夜市
191,11,14,202510,20251017,4,2118,500,
192,57,24,202504,20250403,2,3488,1000,夜市
193,63,25,202512,20251205,3,3625,1500,
194,55,26,202509,20250926,2,3762,1500,夜市
195,12,28,202504,20250424,3,4036,1500,SPRING
196,9,10,202511,20251118,3,1570,500,
197,18,11,202503,20250321,2,1707,500,
198,22,27,202501,20250121,2,3899,1500,SPRING
199,17,24,202507,20250713,2,3488,1000,夜市
200,13,11,202504,20250411,1,1707,500,
201,26,29,202502,20250215,1,4173,1500,WELCOME
202,11,20,202506,20250615,4,2940,1000,SPRING
203,13,16,202510,20251005,4,2392,500,
204,49,27,202510,20251028,1,3899,1500,SPRING
205,6,18,202508,20250826,1,2666,1000,夜市
206,61,13,202509,20250913,4,1981,500,WELCOME
207,26,23,202505,20250507,1,3351,1000,夜市
208,11,20,202503,20250305,3,2940,1000,LOYAL
209,56,21,202505,20250522,3,3077,1000,LOYAL
210,17,30,202504,20250425,4,4310,1500,
211,9,11,202503,20250325,1,1707,500,SPRING
212,2,6,202504,20250427,3,1022,0,WELCOME
213,1,26,202512,20251220,2,3762,1500,WELCOME
214,8,9,202509,20250920,4,1433,500,WELCOME
215,58,15,202501,20250127,5,2255,500,夜市
216,9,12,202504,20250417,5,1844,500,SPRING
217,26,15,202505,20250527,5,2255,500,
218,35,19,202508,20250822,2,2803,1000,WELCOME
219,40,17,202511,20251104,2,2529,1000,夜市
220,57,17,202511,20251104,3,2529,1000,SPRING
221,13,3,202511,20251122,5,611,0,WELCOME
222,38,26,202511,20251124,2,3762,1500,
223,11,6,202512,20251205,2,1022,0,LOYAL
224,64,21,202508,20250811,3,3077,1000,
225,42,27,202504,20250403,5,3899,1500,WELCOME
226,61,12,202503,20250303,3,1844,500,夜市
227,51,6,202508,20250824,1,1022,0,LOYAL
228,49,7,202506,20250615,4,1159,0,WELCOME
229,38,24,202507,20250717,5,3488,1000,WELCOME
230,17,4,202508,20250819,5,748,0,SPRING
231,53,20,202505,20250503,2,2940,1000,
232,18,11,202503,20250321,5,1707,500,夜市
233,54,28,202503,20250302,4,4036,1500,夜市
234,38,18,202506,20250603,3,2666,1000,
235,38,25,202504,20250420,4,3625,1500,LOYAL
236,17,13,202512,20251209,4,1981,500,夜市
237,17,11,202507,20250712,2,1707,500,LOYAL
238,35,17,202506,20250616,1,2529,1000,
239,17,26,202509,20250905,5,3762,1500,LOYAL
240,10,13,202503,20250316,5,1981,500,夜市
241,19,6,202511,20251102,5,1022,0,夜市
242,43,13,202506,20250623,1,1981,500,LOYAL
243,29,15,202512,20251228,3,2255,500,夜市
244,5,14,202507,20250719,3,2118,500,SPRING
245,38,4,202504,20250402,2,748,0,
246,49,8,202509,20250921,4,1296,0,SPRING
247,12,25,202510,20251020,2,3625,1500,
248,22,13,202505,20250527,1,1981,500,WELCOME
249,41,7,202506,20250628,4,1159,0,SPRING
250,29,6,202505,20250527,5,1022,0,SPRING
251,22,6,202506,20250624,2,1022,0,SPRING
252,25,16,202508,20250823,4,2392,500,
253,25,29,202503,20250313,1,4173,1500,SPRING
254,29,25,202505,20250520,5,3625,1500,SPRING
255,38,5,202501,20250118,1,885,0,WELCOME
256,46,13,202511,20251126,2,1981,500,SPRING
257,7,7,202508,20250808,3,1159,0,LOYAL
258,22,16,202509,20250917,1,2392,500,LOYAL
259,33,7,202502,20250220,5,1159,0,
260,17,10,202504,20250426,3,1570,500,SPRING
261,33,13,202510,20251006,1,1981,500,SPRING
262,15,11,202501,20250127,1,1707,500,SPRING
263,21,21,202505,20250526,2,3077,1000,SPRING
264,60,22,202502,20250206,1,3214,1000,LOYAL
265,5,18,202507,20250711,1,2666,1000,
266,34,20,202502,20250213,1,2940,1000,
267,20,17,202510,20251013,4,2529,1000,SPRING
268,29,10,202512,20251219,4,1570,500,SPRING
269,55,17,202507,20250722,1,2529,1000,LOYAL
270,23,18,202504,20250425,2,2666,1000,
271,43,25,202503,20250305,2,3625,1500,LOYAL
272,44,28,202508,20250811,1,4036,1500,WELCOME
273,7,23,202503,20250318,1,3351,1000,
274,12,19,202507,20250718,5,2803,1000,SPRING
275,47,1,202506,20250608,5,337,0,
276,49,12,202512,20251203,5,1844,500,
277,25,25,202503,20250304,5,3625,1500,
278,37,27,202507,20250702,1,3899,1500,WELCOME
279,2,1,202501,20250113,1,337,0,WELCOME
280,10,8,202505,20250517,5,1296,0,
281,58,8,202507,20250706,4,1296,0,WELCOME
282,44,12,202502,20250225,4,1844,500,LOYAL
283,28,4,202506,20250627,1,748,0,SPRING
284,57,28,202509,20250902,4,4036,1500,LOYAL
285,36,32,202508,20250818,3,4584,1500,WELCOME
286,17,28,202503,20250306,4,4036,1500,WELCOME
287,39,9,202501,20250128,3,1433,500,
288,17,10,202502,20250220,1,1570,500,
289,28,26,202504,20250427,5,3762,1500,夜市
290,52,15,202512,20251210,2,2255,500,
291,50,21,202512,20251216,1,3077,1000,LOYAL
292,48,27,202502,20250210,2,3899,1500,WELCOME
293,6,24,202505,20250517,2,3488,1000,WELCOME
294,18,1,202503,20250315,2,337,0,
295,14,15,202512,20251227,3,2255,500,
296,29,4,202504,20250423,5,748,0,SPRING
297,23,12,202512,20251221,1,1844,500,SPRING
298,35,29,202510,20251013,4,4173,1500,WELCOME
299,11,32,202512,20251216,1,4584,1500,
300,34,24,202509,20250909,4,3488,1000,LOYAL
301,18,32,202508,20250811,4,4584,1500,
302,20,29,202510,20251019,4,4173,1500,
303,47,20,202503,20250318,4,2940,1000,SPRING
304,52,28,202504,20250406,4,4036,1500,WELCOME
305,36,12,202502,20250217,3,1844,500,
306,22,18,202503,20250317,1,2666,1000,SPRING
307,46,12,202501,20250108,3,1844,500,
308,42,21,202505,20250520,1,3077,1000,
309,58,21,202508,20250805,2,3077,1000,夜市
310,64,2,202503,20250322,3,474,0,SPRING
311,38,30,202503,20250302,2,4310,1500,WELCOME
312,17,12,202507,20250707,4,1844,500,SPRING
313,55,28,202510,20251025,2,4036,1500,LOYAL
314,8,7,202509,20250905,3,1159,0,WELCOME
315,38,12,202507,20250714,4,1844,500,
316,27,2,202508,20250824,3,474,0,SPRING
317,17,14,202503,20250310,3,2118,500,
318,5,31,202502,20250228,2,4447,1500,WELCOME
319,61,2,202502,20250209,2,474,0,夜市
320,34,29,202508,20250803,5,4173,1500,WELCOME
321,63,25,202508,20250806,1,3625,1500,WELCOME
322,19,22,202503,20250310,4,3214,1000,
323,43,6,202511,20251127,4,1022,0,WELCOME
324,34,28,202510,20251027,3,4036,1500,WELCOME
325,36,2,202506,20250604,1,474,0,WELCOME
326,48,5,202501,20250119,4,885,0,SPRING
327,56,4,202509,20250921,2,748,0,
328,41,19,202502,20250212,3,2803,1000,LOYAL
329,53,1,202510,20251003,4,337,0,
330,14,5,202507,20250705,5,885,0,
331,35,19,202506,20250612,2,2803,1000,SPRING
332,25,10,202510,20251025,5,1570,500,夜市
333,10,18,202511,20251112,1,2666,1000,WELCOME
334,15,13,202508,20250827,4,1981,500,夜市
335,22,17,202506,20250604,4,2529,1000,WELCOME
336,7,13,202508,20250817,4,1981,500,
337,10,4,202506,20250616,3,748,0,WELCOME
338,16,14,202505,20250510,5,2118,500,夜市
339,32,20,202503,20250309,1,2940,1000,夜市
340,34,28,202508,20250814,5,4036,1500,SPRING
341,27,15,202506,20250618,1,2255,500,夜市
342,32,29,202508,20250814,1,4173,1500,
343,52,5,202509,20250918,4,885,0,
344,57,5,202510,20251021,2,885,0,WELCOME
345,56,29,202505,20250525,4,4173,1500,SPRING
346,57,28,202506,20250613,4,4036,1500,SPRING
347,16,5,202502,20250211,2,885,0,
348,26,2,202506,20250604,1,474,0,WELCOME
349,53,10,202501,20250102,4,1570,500,
350,10,32,202511,20251120,4,4584,1500,
351,15,6,202504,20250419,4,1022,0,WELCOME
352,4,13,202510,20251006,1,1981,500,SPRING
353,36,21,202509,20250903,2,3077,1000,
354,32,5,202512,20251203,4,885,0,SPRING
355,48,12,202508,20250815,3,1844,500,SPRING
356,13,31,202505,20250514,4,4447,1500,
357,43,13,202506,20250608,3,1981,500,
358,19,12,202508,20250819,4,1844,500,夜市
359,29,11,202512,20251223,2,1707,500,
360,47,15,202510,20251015,1,2255,500,SPRING
361,55,22,202503,20250311,1,3214,1000,LOYAL
362,63,22,202504,20250414,2,3214,1000,
363,45,20,202504,20250424,5,2940,1000,LOYAL
364,42,31,202501,20250110,4,4447,1500,
365,40,30,202509,20250928,4,4310,1500,
366,48,10,202512,20251214,3,1570,500,夜市
367,23,6,202507,20250703,2,1022,0,WELCOME
368,29,32,202501,20250101,2,4584,1500,LOYAL
369,12,4,202501,20250118,2,748,0,WELCOME
370,32,14,202504,20250401,3,2118,500,LOYAL
371,12,4,202505,20250512,4,748,0,
372,34,17,202501,20250124,4,2529,1000,WELCOME
373,24,16,202502,20250207,4,2392,500,SPRING
374,57,30,202509,20250907,1,4310,1500,WELCOME
375,32,6,202501,20250112,1,1022,0,夜市
376,55,31,202510,20251028,1,4447,1500,WELCOME
377,40,22,202502,20250214,4,3214,1000,WELCOME
378,24,28,202511,20251102,4,4036,1500,
379,4,31,202506,20250604,2,4447,1500,LOYAL
380,56,3,202507,20250726,3,611,0,WELCOME
381,62,26,202506,20250610,5,3762,1500,LOYAL
382,3,32,202501,20250123,5,4584,1500,SPRING
383,33,18,202512,20251205,3,2666,1000,SPRING
384,56,13,202504,20250414,5,1981,500,SPRING
385,18,30,202509,20250928,5,4310,1500,
386,17,2,202501,20250110,5,474,0,WELCOME
387,4,24,202503,20250304,3,3488,1000,WELCOME
388,33,5,202510,20251002,1,885,0,
389,35,14,202512,20251204,4,2118,500,夜市
390,2,5,202504,20250428,1,885,0,WELCOME
391,59,23,202508,20250801,1,3351,1000,WELCOME
392,21,24,202508,20250813,2,3488,1000,
393,11,8,202503,20250325,1,1296,0,
394,20,10,202507,20250702,1,1570,500,SPRING
395,42,24,202504,20250407,2,3488,1000,
396,13,32,202501,20250113,1,4584,1500,夜市
397,53,2,202512,20251218,3,474,0,LOYAL
398,15,18,202507,20250714,3,2666,1000,LOYAL
399,30,18,202512,20251226,1,2666,1000,
400,34,28,202507,20250723,1,4036,1500,SPRING
401,5,28,202506,20250622,1,4036,1500,SPRING
402,55,17,202501,20250117,5,2529,1000,SPRING
403,56,5,202507,20250705,2,885,0,
404,32,12,202504,20250426,3,1844,500,LOYAL
405,4,23,202501,20250124,2,3351,1000,LOYAL
406,52,32,202505,20250503,3,4584,1500,
407,31,9,202507,20250705,4,1433,500,夜市
408,23,10,202510,20251004,4,1570,500,WELCOME
409,54,22,202511,20251124,5,3214,1000,LOYAL
410,64,26,202512,20251205,1,3762,1500,WELCOME
411,34,13,202501,20250120,3,1981,500,LOYAL
412,62,18,202506,20250611,2,2666,1000,WELCOME
413,27,19,202506,20250609,2,2803,1000,
414,26,23,202504,20250421,1,3351,1000,SPRING
415,24,5,202509,20250902,2,885,0,LOYAL
416,55,30,202504,20250426,2,4310,1500,夜市
417,43,31,202502,20250218,4,4447,1500,SPRING
418,15,16,202501,20250117,3,2392,500,LOYAL
419,17,8,202506,20250614,1,1296,0,夜市
420,12,6,202504,20250409,1,1022,0,
421,29,23,202510,20251016,2,3351,1000,
422,48,23,202510,20251028,3,3351,1000,
423,32,30,202512,20251204,3,4310,1500,夜市
424,64,10,202512,20251213,4,1570,500,
425,10,8,202507,20250712,5,1296,0,
426,47,24,202507,20250724,2,3488,1000,SPRING
427,40,8,202505,20250520,3,1296,0,
428,48,16,202504,20250414,4,2392,500,
429,49,26,202502,20250208,3,3762,1500,夜市
430,62,31,202505,20250515,3,4447,1500,
431,3,5,202505,20250501,4,885,0,WELCOME
432,11,7,202502,20250218,2,1159,0,
433,35,31,202502,20250213,1,4447,1500,夜市
434,43,10,202507,20250703,3,1570,500,
435,4,1,202512,20251228,3,337,0,WELCOME
436,63,28,202511,20251117,2,4036,1500,LOYAL
437,9,29,202509,20250914,5,4173,1500,夜市
438,47,27,202504,20250407,3,3899,1500,SPRING
439,18,23,202501,20250104,3,3351,1000,
440,11,12,202508,20250804,5,1844,500,
441,40,19,202511,20251126,4,2803,1000,
442,41,7,202507,20250709,1,1159,0,LOYAL
443,14,14,202506,20250608,2,2118,500,
444,2,4,202508,20250822,2,748,0,SPRING
445,17,1,202509,20250918,5,337,0,SPRING
446,18,14,202509,20250914,5,2118,500,夜市
447,7,23,202501,20250104,5,3351,1000,夜市
448,19,7,202507,20250720,3,1159,0,
449,35,3,202502,20250203,2,611,0,WELCOME
450,53,19,202506,20250610,5,2803,1000,SPRING
451,62,25,202506,20250619,4,3625,1500,SPRING
452,39,12,202508,20250820,1,1844,500,SPRING
453,2,8,202509,20250903,2,1296,0,
454,46,31,202503,20250326,4,4447,1500,夜市
455,11,22,202510,20251007,3,3214,1000,
456,13,32,202508,20250818,3,4584,1500,WELCOME
457,32,19,202512,20251204,5,2803,1000,WELCOME
458,2,30,202504,20250423,2,4310,1500,
459,33,9,202511,20251104,4,1433,500,LOYAL
460,32,15,202506,20250624,3,2255,500,夜市
461,3,1,202502,20250203,1,337,0,SPRING
462,61,9,202507,20250705,4,1433,500,
463,31,28,202508,20250808,3,4036,1500,SPRING
464,25,18,202503,20250325,1,2666,1000,
465,13,7,202505,20250513,5,1159,0,SPRING
466,33,21,202503,20250312,1,3077,1000,WELCOME
467,64,26,202502,20250228,5,3762,1500,WELCOME
468,59,23,202504,20250402,2,3351,1000,SPRING
469,59,21,202504,20250402,4,3077,1000,
470,55,15,202504,20250421,4,2255,500,LOYAL
471,19,32,202501,20250115,1,4584,1500,WELCOME
472,62,7,202508,20250813,2,1159,0,
473,20,16,202511,20251121,2,2392,500,LOYAL
474,12,1,202507,20250711,5,337,0,SPRING
475,49,8,202509,20250922,5,1296,0,SPRING
476,34,8,202510,20251011,4,1296,0,
477,42,17,202502,20250203,1,2529,1000,LOYAL
478,54,29,202509,20250919,2,4173,1500,WELCOME
479,5,11,202503,20250316,5,1707,500,SPRING
480,18,17,202510,20251027,3,2529,1000,SPRING
481,7,2,202507,20250702,4,474,0,SPRING
482,24,25,202509,20250907,4,3625,1500,夜市
483,9,4,202510,20251004,3,748,0,
484,11,24,202504,20250413,5,3488,1000,夜市
485,26,17,202507,20250724,4,2529,1000,SPRING
486,44,25,202504,20250417,1,3625,1500,SPRING
487,41,24,202505,20250513,5,3488,1000,夜市
488,57,32,202503,20250325,3,4584,1500,WELCOME
489,9,9,202504,20250425,4,1433,500,LOYAL
490,2,27,202504,20250402,2,3899,1500,
491,39,7,202503,20250312,3,1159,0,SPRING
492,50,31,202507,20250715,1,4447,1500,SPRING
493,44,9,202504,20250411,1,1433,500,WELCOME
494,17,23,202506,20250627,2,3351,1000,WELCOME
495,8,25,202512,20251213,3,3625,1500,LOYAL
496,7,28,202504,20250407,4,4036,1500,夜市
497,40,8,202507,20250720,1,1296,0,
498,35,16,202502,20250210,3,2392,500,WELCOME
499,53,32,202501,20250102,1,4584,1500,LOYAL
500,46,22,202502,20250208,5,3214,1000,LOYAL
501,16,26,202501,20250113,5,3762,1500,WELCOME
502,64,25,202510,20251013,5,3625,1500,
503,63,3,202504,20250422,5,611,0,WELCOME
504,57,23,202502,20250202,5,3351,1000,
505,62,10,202512,20251214,4,1570,500,SPRING
506,10,27,202507,20250719,5,3899,1500,
507,63,1,202502,20250210,3,337,0,LOYAL
508,22,10,202511,20251113,1,1570,500,
509,10,15,202502,20250207,3,2255,500,LOYAL
510,62,31,202506,20250620,1,4447,1500,LOYAL
511,5,3,202510,20251023,4,611,0,
512,55,22,202502,20250225,3,3214,1000,
513,38,12,202509,20250914,2,1844,500,LOYAL
514,64,21,202507,20250728,1,3077,1000,SPRING
515,48,30,202510,20251013,4,4310,1500,LOYAL
516,62,10,202503,20250323,5,1570,500,夜市
517,60,22,202507,20250716,4,3214,1000,WELCOME
518,52,22,202502,20250228,5,3214,1000,
519,19,10,202503,20250312,1,1570,500,SPRING
520,25,1,202509,20250905,2,337,0,SPRING
521,62,9,202507,20250712,3,1433,500,SPRING
522,46,27,202505,20250525,1,3899,1500,
523,12,10,202503,20250320,3,1570,500,LOYAL
524,9,31,202509,20250915,5,4447,1500,WELCOME
525,31,17,202511,20251122,2,2529,1000,
526,25,20,202508,20250811,2,2940,1000,夜市
527,59,26,202511,20251101,4,3762,1500,LOYAL
528,15,9,202511,20251114,5,1433,500,LOYAL
529,8,9,202506,20250620,3,1433,500,WELCOME
530,64,27,202503,20250322,2,3899,1500,夜市
531,58,1,202509,20250912,2,337,0,SPRING
532,3,10,202503,20250317,5,1570,500,
533,56,30,202511,20251108,3,4310,1500,WELCOME
534,58,30,202509,20250905,1,4310,1500,
535,3,29,202501,20250118,2,4173,1500,SPRING
536,13,11,202502,20250201,4,1707,500,夜市
537,37,25,202506,20250618,2,3625,1500,WELCOME
538,11,24,202506,20250608,3,3488,1000,
539,13,29,202505,20250518,4,4173,1500,
540,3,2,202505,20250511,2,474,0,
541,3,2,202504,20250414,2,474,0,
542,50,20,202505,20250506,2,2940,1000,SPRING
543,45,8,202506,20250615,4,1296,0,WELCOME
544,47,5,202501,20250121,2,885,0,
545,37,27,202509,20250903,1,3899,1500,
546,19,9,202504,20250408,3,1433,500,
547,33,7,202506,20250618,1,1159,0,WELCOME
548,45,24,202501,20250115,1,3488,1000,
549,11,3,202501,20250119,5,611,0,LOYAL
550,25,4,202511,20251121,4,748,0,夜市
551,33,10,202510,20251022,1,1570,500,夜市
552,31,10,202502,20250225,3,1570,500,SPRING
553,2,6,202502,20250204,2,1022,0,
554,36,9,202501,20250111,5,1433,500,
555,20,24,202508,20250823,4,3488,1000,SPRING
556,20,26,202504,20250423,3,3762,1500,SPRING
557,22,19,202501,20250108,1,2803,1000,
558,13,18,202506,20250603,5,2666,1000,LOYAL
559,39,28,202509,20250922,5,4036,1500,LOYAL
560,63,25,202505,20250520,3,3625,1500,
561,2,25,202510,20251014,3,3625,1500,LOYAL
562,12,12,202502,20250203,2,1844,500,WELCOME
563,42,30,202509,20250901,2,4310,1500,
564,22,22,202510,20251001,3,3214,1000,WELCOME
565,3,14,202505,20250505,3,2118,500,LOYAL
566,63,21,202504,20250415,1,3077,1000,
567,1,19,202510,20251024,3,2803,1000,
568,23,25,202512,20251217,4,3625,1500,SPRING
569,31,19,202503,20250303,1,2803,1000,WELCOME
570,37,16,202510,20251010,5,2392,500,SPRING
